Buscando trabajos de Dataflow en el proyecto: apache-beam-testing...

Nombre del Trabajo (Prueba)                        | Estado       | Duración (Minutos)
----------------------------------------------------------------------------------------
read-pubsub-20260719012816305-xyywtlci             | 2            | En ejecución...   
write-pubsub-20260719012742419-ho5llgtw            | 2            | En ejecución...   
pubsubreadit0testreadpublicdata-runner-0719005827-8ecdb08e | 5            | 6.38              
pubsubreadit0testreadpubsubmessageid-runner-0719005537-e06b296d | 5            | 6.27              
read-pubsub-20260719005438223-0tohrcyq             | 2            | En ejecución...   
write-pubsub-20260719005334292-hnlkyawv            | 3            | 22.23             
read-pubsub-20260719000859677-a5u9oo0d             | 5            | 81.87             
write-pubsub-20260719000826760-8ze416kp            | 5            | 82.84             
read-pubsub-20260718235411680-c3ey0gf4             | 5            | 54.54             
write-pubsub-20260718235337928-bnrbgcss            | 3            | 37.36             
pubsubwriteit0testboundedwritesequence-runner-0718233414-e0fa1c19 | 3            | 4.51              
pubsubwriteit0testboundedwritemessagewithattributes-runner-0718232921-6163f00c | 3            | 4.67              
pubsubwriteit0testboundedwritemessagewithattributesandorderingkey-runner-0718232441-92c2d518 | 3            | 4.41              
pubsubwriteit0testboundedwritelargemessage-runner-0718231939-6144b300 | 3            | 4.46              
pubsubwriteit0testboundedwritesequence-runner-0718231811-868b31cc | 3            | 4.69              
pubsubwriteit0testboundedwritesmallmessage-runner-0718231458-832f313 | 3            | 4.47              
pubsubwriteit0testboundedwritemessagewithattributes-runner-0718231331-3101751b | 3            | 4.5               
pubsubwriteit0testboundedwritemessagewithattributesandorderingkey-runner-0718230836-6b9b1c5a | 3            | 4.69              
pubsubwriteit0testboundedwritelargemessage-runner-0718230351-a15b85f7 | 3            | 4.5               
pubsubwriteit0testboundedwritesmallmessage-runner-0718225910-12a9cba2 | 3            | 4.52              
read-pubsub-20260718225447203-luixkllh             | 5            | 54.11             
write-pubsub-20260718225414096-qkdlvw4w            | 3            | 22.91             
read-pubsub-20260718224945786-3ccomkmj             | 5            | 82.03             
write-pubsub-20260718224910641-m4ax9dgv            | 5            | 82.9              
read-pubsub-20260718215524148-h16e5x81             | 5            | 54.05             
write-pubsub-20260718215449589-j1wngwqe            | 3            | 19.84             
pubsubreadit0testreadpublicdata-runner-0718165801-a2c6594e | 5            | 5.93              
pubsubreadit0testreadpubsubmessageid-runner-0718165506-7237f58e | 5            | 6.17              
pubsubwriteit0testboundedwritesequence-runner-0718152614-d285914c | 3            | 4.55              
pubsubwriteit0testboundedwritemessagewithattributes-runner-0718152131-e320db84 | 3            | 4.54              
pubsubwriteit0testboundedwritesequence-runner-0718151729-a6a90d43 | 3            | 4.58              
pubsubwriteit0testboundedwritemessagewithattributesandorderingkey-runner-0718151647-d1cbaeef | 3            | 4.52              
pubsubwriteit0testboundedwritemessagewithattributes-runner-0718151250-9e903fd6 | 3            | 4.48              
pubsubwriteit0testboundedwritelargemessage-runner-0718151156-ab80f5c8 | 3            | 4.63              
pubsubwriteit0testboundedwritemessagewithattributesandorderingkey-runner-0718150757-3bfb03b2 | 3            | 4.67              
pubsubwriteit0testboundedwritesmallmessage-runner-0718150713-760a24e3 | 3            | 4.52              
pubsubwriteit0testboundedwritelargemessage-runner-0718150301-a89fd24b | 3            | 4.69              
pubsubwriteit0testboundedwritesmallmessage-runner-0718145818-c7c5ead0 | 3            | 4.56              
pubsubreadit0testreadpublicdata-runner-0718092616-f33b71aa | 5            | 6.97              
pubsubreadit0testreadpubsubmessageid-runner-0718092327-e93f6868 | 5            | 6.21              
pubsubwriteit0testboundedwritesequence-runner-0718075640-69fce393 | 3            | 4.8               
pubsubwriteit0testboundedwritemessagewithattributes-runner-0718075144-e8be63f1 | 3            | 4.7               
pubsubwriteit0testboundedwritesequence-runner-0718075026-afa52534 | 3            | 4.57              
pubsubwriteit0testboundedwritemessagewithattributesandorderingkey-runner-0718074650-2026a726 | 3            | 4.55              
pubsubwriteit0testboundedwritemessagewithattributes-runner-0718074542-12b80999 | 3            | 4.55              
pubsubwriteit0testboundedwritelargemessage-runner-0718074200-889c9f7d | 3            | 4.6               
